dish_id,total_calories,total_mass,ingredients,split
dish_1564686855,1030.160645,435.0,ingr_0000000031;ingr_0000000094;ingr_0000000257;ingr_0000000244;ingr_0000000471;ingr_0000000012;ingr_0000000291;ingr_0000000030;ingr_0000000011;ingr_0000000029;ingr_0000000367;ingr_0000000312;ingr_0000000161;ingr_0000000189,train
dish_1565119669,55.965,229.0,ingr_0000000072;ingr_0000000485;ingr_0000000517;ingr_0000000529,train
dish_1566417516,385.402527,425.0,ingr_0000000514;ingr_0000000335;ingr_0000000471;ingr_0000000029;ingr_0000000528;ingr_0000000291;ingr_0000000126;ingr_0000000122;ingr_0000000161;ingr_0000000189;ingr_0000000517;ingr_0000000049;ingr_0000000527;ingr_0000000133;ingr_0000000433;ingr_0000000524;ingr_0000000520,train
dish_1558724031,358.710999,303.0,ingr_0000000471;ingr_0000000037;ingr_0000000077;ingr_0000000007,train
dish_1558637393,739.968018,128.0,ingr_0000000077,train
dish_1563393217,49.230003,228.0,ingr_0000000485;ingr_0000000027;ingr_0000000021;ingr_0000000094;ingr_0000000031,train
dish_1562789268,569.511536,350.0,ingr_0000000462;ingr_0000000205;ingr_0000000023;ingr_0000000520;ingr_0000000524;ingr_0000000521;ingr_0000000133;ingr_0000000471;ingr_0000000011;ingr_0000000312;ingr_0000000291;ingr_0000000189;ingr_0000000161;ingr_0000000094;ingr_0000000122;ingr_0000000027,train
dish_1563998323,634.505066,574.0,ingr_0000000433;ingr_0000000133;ingr_0000000161;ingr_0000000522;ingr_0000000441;ingr_0000000448;ingr_0000000514;ingr_0000000046;ingr_0000000010;ingr_0000000519;ingr_0000000028;ingr_0000000312;ingr_0000000291;ingr_0000000122;ingr_0000000428;ingr_0000000523;ingr_0000000189;ingr_0000000518;ingr_0000000520;ingr_0000000516;ingr_0000000515;ingr_0000000521;ingr_0000000023;ingr_0000000341;ingr_0000000524;ingr_0000000007,test
dish_1559700851,61.089886,54.0,ingr_0000000036;ingr_0000000189;ingr_0000000032;ingr_0000000291;ingr_0000000126;ingr_0000000122;ingr_0000000161;ingr_0000000526;ingr_0000000031,train
dish_1561492204,488.636322,334.0,ingr_0000000161;ingr_0000000201;ingr_0000000094;ingr_0000000032;ingr_0000000291;ingr_0000000194;ingr_0000000028;ingr_0000000312;ingr_0000000126;ingr_0000000122;ingr_0000000033;ingr_0000000513;ingr_0000000448;ingr_0000000036;ingr_0000000189;ingr_0000000073,train
dish_1567613057,406.68631,749.0,ingr_0000000161;ingr_0000000128;ingr_0000000121;ingr_0000000437;ingr_0000000475,train
dish_1563996485,178.039185,201.0,ingr_0000000291;ingr_0000000312;ingr_0000000201;ingr_0000000517;ingr_0000000515;ingr_0000000189;ingr_0000000126;ingr_0000000161;ingr_0000000124;ingr_0000000433;ingr_0000000007,test
dish_1564761488,327.986023,336.0,ingr_0000000080;ingr_0000000128;ingr_0000000194;ingr_0000000112,train
dish_1559239151,9.2,40.0,ingr_0000000036,test
dish_1559678330,169.694122,150.0,ingr_0000000161;ingr_0000000036;ingr_0000000189;ingr_0000000032;ingr_0000000122;ingr_0000000031;ingr_0000000291;ingr_0000000126;ingr_0000000526,train
dish_1563998210,148.089218,91.0,ingr_0000000122;ingr_0000000161;ingr_0000000518;ingr_0000000520;ingr_0000000441;ingr_0000000341;ingr_0000000519;ingr_0000000028;ingr_0000000312;ingr_0000000428;ingr_0000000133;ingr_0000000515;ingr_0000000516;ingr_0000000046;ingr_0000000521;ingr_0000000514;ingr_0000000291,test
dish_1565033110,47.599998,147.0,ingr_0000000027;ingr_0000000029,train
dish_1564428444,157.001038,277.0,ingr_0000000161;ingr_0000000094;ingr_0000000291;ingr_0000000122;ingr_0000000213;ingr_0000000029;ingr_0000000126;ingr_0000000471;ingr_0000000007;ingr_0000000189,train
dish_1558459115,271.540009,298.0,ingr_0000000077;ingr_0000000054;ingr_0000000026;ingr_0000000471;ingr_0000000440,train
dish_1558723777,74.360001,143.0,ingr_0000000054,train
dish_1558721757,768.873047,133.0,ingr_0000000077,train
dish_1564777960,331.007507,147.0,ingr_0000000511;ingr_0000000011;ingr_0000000133;ingr_0000000094;ingr_0000000291;ingr_0000000161;ingr_0000000189;ingr_0000000525;ingr_0000000025;ingr_0000000513,train
dish_1558376306,372.167999,108.0,ingr_0000000039,test
dish_1558114086,74.360001,143.0,ingr_0000000453,test
dish_1558720236,887.823059,407.0,ingr_0000000054;ingr_0000000045;ingr_0000000007;ingr_0000000077,test
dish_1563468269,129.01001,302.0,ingr_0000000013;ingr_0000000121;ingr_0000000038,train
dish_1558380557,699.320068,212.0,ingr_0000000440;ingr_0000000077;ingr_0000000039,train
dish_1562873028,280.3414,320.0,ingr_0000000538;ingr_0000000524;ingr_0000000539;ingr_0000000161;ingr_0000000471;ingr_0000000527;ingr_0000000049;ingr_0000000312;ingr_0000000291;ingr_0000000047;ingr_0000000515;ingr_0000000434;ingr_0000000043;ingr_0000000034;ingr_0000000045;ingr_0000000472;ingr_0000000122;ingr_0000000367,train
dish_1558637769,80.079994,154.0,ingr_0000000054,train
dish_1558724959,581.441956,426.0,ingr_0000000016;ingr_0000000045;ingr_0000000077;ingr_0000000054,train
dish_1558115867,132.962997,23.0,ingr_0000000077,train
dish_1561580370,126.795876,124.0,ingr_0000000036;ingr_0000000514;ingr_0000000052;ingr_0000000471;ingr_0000000074;ingr_0000000532;ingr_0000000006;ingr_0000000094,train
dish_1562618000,685.993896,448.0,ingr_0000000189;ingr_0000000161;ingr_0000000122;ingr_0000000526;ingr_0000000312;ingr_0000000291;ingr_0000000073;ingr_0000000520;ingr_0000000518;ingr_0000000023;ingr_0000000524;ingr_0000000521;ingr_0000000515;ingr_0000000155;ingr_0000000187;ingr_0000000027,test
dish_1561061658,226.000137,227.0,ingr_0000000306;ingr_0000000312;ingr_0000000148;ingr_0000000016;ingr_0000000526;ingr_0000000122;ingr_0000000072;ingr_0000000524;ingr_0000000291;ingr_0000000133;ingr_0000000515;ingr_0000000161;ingr_0000000520;ingr_0000000140;ingr_0000000473;ingr_0000000153;ingr_0000000054,train
dish_1559838402,222.759506,233.0,ingr_0000000004;ingr_0000000437;ingr_0000000192;ingr_0000000013,train
dish_1564686832,829.737549,392.0,ingr_0000000094;ingr_0000000257;ingr_0000000012;ingr_0000000244;ingr_0000000291;ingr_0000000367;ingr_0000000471;ingr_0000000011;ingr_0000000030;ingr_0000000312;ingr_0000000029;ingr_0000000161;ingr_0000000189;ingr_0000000031,train
dish_1561753238,298.034393,333.0,ingr_0000000161;ingr_0000000515;ingr_0000000023;ingr_0000000312;ingr_0000000021;ingr_0000000072;ingr_0000000332;ingr_0000000524;ingr_0000000122;ingr_0000000520;ingr_0000000291;ingr_0000000522;ingr_0000000518;ingr_0000000031,train
dish_1566938026,450.576294,219.0,ingr_0000000511;ingr_0000000092;ingr_0000000011;ingr_0000000291;ingr_0000000520;ingr_0000000021;ingr_0000000335;ingr_0000000046;ingr_0000000155;ingr_0000000161;ingr_0000000377;ingr_0000000122;ingr_0000000133,train
dish_1562617703,179.630005,110.0,ingr_0000000275,test
dish_1559751801,451.635986,343.0,ingr_0000000013;ingr_0000000192;ingr_0000000179;ingr_0000000510,train
dish_1564000490,532.706482,325.0,ingr_0000000312;ingr_0000000515;ingr_0000000341;ingr_0000000006;ingr_0000000441;ingr_0000000133;ingr_0000000011;ingr_0000000291;ingr_0000000122;ingr_0000000520;ingr_0000000521;ingr_0000000046;ingr_0000000514;ingr_0000000519;ingr_0000000518;ingr_0000000161;ingr_0000000516;ingr_0000000428;ingr_0000000028,train
dish_1564000459,485.186493,217.0,ingr_0000000441;ingr_0000000514;ingr_0000000518;ingr_0000000161;ingr_0000000516;ingr_0000000520;ingr_0000000011;ingr_0000000133;ingr_0000000122;ingr_0000000291;ingr_0000000428;ingr_0000000312;ingr_0000000341;ingr_0000000046;ingr_0000000515;ingr_0000000519;ingr_0000000521;ingr_0000000028,train
dish_1558457530,16.0,64.0,ingr_0000000007,train
dish_1558723449,74.360001,143.0,ingr_0000000054,train
dish_1567628157,373.190979,355.0,ingr_0000000535;ingr_0000000049;ingr_0000000054;ingr_0000000515;ingr_0000000094;ingr_0000000517;ingr_0000000534;ingr_0000000473;ingr_0000000520;ingr_0000000122;ingr_0000000291;ingr_0000000524;ingr_0000000072;ingr_0000000161;ingr_0000000526;ingr_0000000133;ingr_0000000153,train
dish_1566502505,454.517365,275.0,ingr_0000000457;ingr_0000000525;ingr_0000000462;ingr_0000000205;ingr_0000000031;ingr_0000000094;ingr_0000000291;ingr_0000000508;ingr_0000000122;ingr_0000000328;ingr_0000000312;ingr_0000000026;ingr_0000000189;ingr_0000000036;ingr_0000000126;ingr_0000000161,test
dish_1565728415,194.42775,80.0,ingr_0000000011;ingr_0000000133;ingr_0000000511;ingr_0000000094;ingr_0000000161;ingr_0000000189;ingr_0000000513;ingr_0000000291;ingr_0000000525;ingr_0000000025,train
dish_1565383026,171.559998,287.0,ingr_0000000036;ingr_0000000031;ingr_0000000012,train
dish_1558642089,39.360001,96.0,ingr_0000000045,train
dish_1566849923,127.970001,240.0,ingr_0000000012;ingr_0000000471;ingr_0000000045,test
dish_1562959732,374.663696,232.0,ingr_0000000291;ingr_0000000508;ingr_0000000525;ingr_0000000462;ingr_0000000162;ingr_0000000312;ingr_0000000122;ingr_0000000328;ingr_0000000026,train
dish_1560368972,196.840424,107.0,ingr_0000000462;ingr_0000000471;ingr_0000000122;ingr_0000000133;ingr_0000000026;ingr_0000000291;ingr_0000000094;ingr_0000000521;ingr_0000000161;ingr_0000000023;ingr_0000000189;ingr_0000000312;ingr_0000000027;ingr_0000000520;ingr_0000000524,train
dish_1566502537,517.644226,315.0,ingr_0000000205;ingr_0000000189;ingr_0000000524;ingr_0000000457;ingr_0000000516;ingr_0000000045;ingr_0000000291;ingr_0000000122;ingr_0000000126;ingr_0000000031;ingr_0000000520;ingr_0000000161;ingr_0000000527;ingr_0000000462;ingr_0000000028;ingr_0000000036;ingr_0000000312;ingr_0000000525;ingr_0000000026;ingr_0000000023;ingr_0000000508;ingr_0000000517;ingr_0000000328;ingr_0000000094;ingr_0000000521,test
dish_1561576590,29.231468,101.0,ingr_0000000021;ingr_0000000161;ingr_0000000291,train
dish_1558723866,14.75,59.0,ingr_0000000007,train
dish_1564778030,504.417786,283.0,ingr_0000000513;ingr_0000000511;ingr_0000000189;ingr_0000000094;ingr_0000000011;ingr_0000000027;ingr_0000000525;ingr_0000000029;ingr_0000000133;ingr_0000000035;ingr_0000000025;ingr_0000000161;ingr_0000000126;ingr_0000000122;ingr_0000000124;ingr_0000000030;ingr_0000000291,train
dish_1561392512,42.75,75.0,ingr_0000000013,train
dish_1564675118,177.188782,238.0,ingr_0000000161;ingr_0000000121;ingr_0000000437,train
dish_1566838407,358.947601,558.0,ingr_0000000038;ingr_0000000008;ingr_0000000437;ingr_0000000013;ingr_0000000161;ingr_0000000121,test
dish_1559319860,70.330002,13.0,ingr_0000000004,train
dish_1559242568,116.116005,203.0,ingr_0000000213,train
dish_1563824339,85.339996,175.0,ingr_0000000094;ingr_0000000471;ingr_0000000012;ingr_0000000033,train
dish_1567021831,252.435623,228.0,ingr_0000000471;ingr_0000000312;ingr_0000000527;ingr_0000000514;ingr_0000000072;ingr_0000000126;ingr_0000000161;ingr_0000000122;ingr_0000000124;ingr_0000000520;ingr_0000000291;ingr_0000000049;ingr_0000000517;ingr_0000000201;ingr_0000000189;ingr_0000000515;ingr_0000000524;ingr_0000000133,train
dish_1559846099,206.938995,114.0,ingr_0000000507;ingr_0000000077;ingr_0000000027,train
dish_1562873155,41.33675,79.0,ingr_0000000043;ingr_0000000161,train
dish_1562094621,10.54,34.0,ingr_0000000043,train
dish_1563900150,202.2966,154.0,ingr_0000000437;ingr_0000000161;ingr_0000000008,train
dish_1562086702,178.529999,33.0,ingr_0000000004,train
dish_1564429894,498.769836,566.0,ingr_0000000377;ingr_0000000291;ingr_0000000021;ingr_0000000116;ingr_0000000515;ingr_0000000524;ingr_0000000045;ingr_0000000472;ingr_0000000312;ingr_0000000514;ingr_0000000462;ingr_0000000448;ingr_0000000152;ingr_0000000133;ingr_0000000518;ingr_0000000161;ingr_0000000122;ingr_0000000520;ingr_0000000007,train
dish_1561662458,124.815498,119.0,ingr_0000000030;ingr_0000000367;ingr_0000000291;ingr_0000000029;ingr_0000000094;ingr_0000000031;ingr_0000000189;ingr_0000000205;ingr_0000000161;ingr_0000000312;ingr_0000000471,train
dish_1558720364,73.839996,142.0,ingr_0000000054,train
dish_1559845290,66.220001,86.0,ingr_0000000005,train
dish_1559844506,98.959999,180.0,ingr_0000000507;ingr_0000000440;ingr_0000000002,train
dish_1560360055,362.734009,180.0,ingr_0000000039;ingr_0000000008,train
dish_1567106825,220.200867,104.0,ingr_0000000525;ingr_0000000513;ingr_0000000035;ingr_0000000094;ingr_0000000126;ingr_0000000161;ingr_0000000133;ingr_0000000511;ingr_0000000029;ingr_0000000291;ingr_0000000025;ingr_0000000189;ingr_0000000122;ingr_0000000030;ingr_0000000124,train
dish_1562099053,98.382996,37.0,ingr_0000000011,test
dish_1560453380,411.388397,480.0,ingr_0000000485;ingr_0000000023;ingr_0000000515;ingr_0000000043;ingr_0000000514;ingr_0000000516;ingr_0000000032;ingr_0000000028;ingr_0000000312;ingr_0000000512;ingr_0000000036;ingr_0000000021;ingr_0000000332;ingr_0000000518;ingr_0000000161;ingr_0000000521;ingr_0000000520;ingr_0000000524;ingr_0000000291;ingr_0000000122,train
dish_1566849327,551.702026,362.0,ingr_0000000148;ingr_0000000029;ingr_0000000042;ingr_0000000012;ingr_0000000028,train
dish_1560527191,663.989319,318.0,ingr_0000000526;ingr_0000000031;ingr_0000000004;ingr_0000000013;ingr_0000000032;ingr_0000000122;ingr_0000000005;ingr_0000000291;ingr_0000000039;ingr_0000000126;ingr_0000000189;ingr_0000000036;ingr_0000000161,train
dish_1563898786,420.928467,344.0,ingr_0000000126;ingr_0000000161;ingr_0000000033;ingr_0000000027;ingr_0000000073;ingr_0000000291;ingr_0000000122;ingr_0000000008;ingr_0000000189;ingr_0000000031,train
dish_1560973958,145.313232,121.0,ingr_0000000514;ingr_0000000161;ingr_0000000126;ingr_0000000082;ingr_0000000367;ingr_0000000291;ingr_0000000129;ingr_0000000312;ingr_0000000515;ingr_0000000058,train
dish_1558546663,330.734009,197.0,ingr_0000000036;ingr_0000000077;ingr_0000000054,test
dish_1563206582,229.248688,320.0,ingr_0000000192;ingr_0000000128;ingr_0000000161;ingr_0000000437,train
dish_1565207815,40.848213,80.0,ingr_0000000016;ingr_0000000291;ingr_0000000312;ingr_0000000161,train
dish_1568305257,837.147766,420.0,ingr_0000000080;ingr_0000000291;ingr_0000000033;ingr_0000000126;ingr_0000000161;ingr_0000000031;ingr_0000000189;ingr_0000000008;ingr_0000000122;ingr_0000000073,test
dish_1568314823,144.0,90.0,ingr_0000000042,train
dish_1565119464,504.065033,223.0,ingr_0000000513;ingr_0000000054;ingr_0000000011;ingr_0000000291;ingr_0000000161;ingr_0000000094;ingr_0000000473;ingr_0000000126;ingr_0000000189;ingr_0000000036;ingr_0000000511;ingr_0000000025;ingr_0000000133;ingr_0000000525,train
dish_1565725047,77.659996,110.0,ingr_0000000045;ingr_0000000012,train
dish_1559841163,357.043518,335.0,ingr_0000000041;ingr_0000000008;ingr_0000000192;ingr_0000000437;ingr_0000000510;ingr_0000000027,train
dish_1563568338,631.706665,371.0,ingr_0000000291;ingr_0000000122;ingr_0000000161;ingr_0000000072;ingr_0000000094;ingr_0000000514;ingr_0000000046;ingr_0000000205;ingr_0000000421;ingr_0000000527;ingr_0000000011;ingr_0000000045;ingr_0000000518;ingr_0000000034;ingr_0000000341;ingr_0000000026;ingr_0000000179,train
dish_1563468299,210.350006,385.0,ingr_0000000001;ingr_0000000038;ingr_0000000121;ingr_0000000013,train
dish_1558027001,20.400002,68.0,ingr_0000000458,train
dish_1565033265,1324.084961,625.0,ingr_0000000012;ingr_0000000029;ingr_0000000027;ingr_0000000028;ingr_0000000338;ingr_0000000161,train
dish_1563475921,244.343323,348.0,ingr_0000000133;ingr_0000000122;ingr_0000000520;ingr_0000000094;ingr_0000000036;ingr_0000000448;ingr_0000000038;ingr_0000000007;ingr_0000000112;ingr_0000000203;ingr_0000000291;ingr_0000000161;ingr_0000000367;ingr_0000000540;ingr_0000000023;ingr_0000000523;ingr_0000000332,train
dish_1561665024,100.570984,121.0,ingr_0000000520;ingr_0000000094;ingr_0000000161;ingr_0000000029;ingr_0000000524;ingr_0000000291;ingr_0000000054;ingr_0000000513;ingr_0000000043;ingr_0000000189,train
dish_1563813308,224.982895,76.0,ingr_0000000291;ingr_0000000312;ingr_0000000016;ingr_0000000161;ingr_0000000004,train
dish_1561062555,47.093922,32.0,ingr_0000000054;ingr_0000000133;ingr_0000000291;ingr_0000000153;ingr_0000000161;ingr_0000000473;ingr_0000000520;ingr_0000000526;ingr_0000000524;ingr_0000000515;ingr_0000000122,train
dish_1558723414,51.988998,49.0,ingr_0000000205,train
dish_1562691674,376.976868,435.0,ingr_0000000437;ingr_0000000161;ingr_0000000027;ingr_0000000128;ingr_0000000192;ingr_0000000545;ingr_0000000543;ingr_0000000510;ingr_0000000502,train
dish_1566591080,909.629578,549.0,ingr_0000000312;ingr_0000000332;ingr_0000000028;ingr_0000000012;ingr_0000000515;ingr_0000000023;ingr_0000000484;ingr_0000000161;ingr_0000000518;ingr_0000000045;ingr_0000000291,train
dish_1564082462,905.354492,609.0,ingr_0000000508;ingr_0000000532;ingr_0000000471;ingr_0000000023;ingr_0000000517;ingr_0000000036;ingr_0000000462;ingr_0000000052;ingr_0000000006;ingr_0000000524;ingr_0000000026;ingr_0000000328;ingr_0000000122;ingr_0000000045;ingr_0000000291;ingr_0000000312;ingr_0000000525;ingr_0000000074;ingr_0000000161;ingr_0000000521;ingr_0000000516;ingr_0000000520;ingr_0000000094;ingr_0000000527;ingr_0000000028,train
dish_1562602860,165.182281,258.0,ingr_0000000002;ingr_0000000502;ingr_0000000543;ingr_0000000545;ingr_0000000121,train
dish_1561739954,276.119995,225.0,ingr_0000000437;ingr_0000000008,train
dish_1558638983,59.416,56.0,ingr_0000000205,train
dish_1558631825,118.832001,112.0,ingr_0000000205,train
dish_1564689108,203.66246,159.0,ingr_0000000187;ingr_0000000291;ingr_0000000122;ingr_0000000201;ingr_0000000312;ingr_0000000213;ingr_0000000515;ingr_0000000126;ingr_0000000161;ingr_0000000524;ingr_0000000077;ingr_0000000189;ingr_0000000036;ingr_0000000520;ingr_0000000045,test
dish_1563216440,403.786346,352.0,ingr_0000000514;ingr_0000000161;ingr_0000000036;ingr_0000000471;ingr_0000000244;ingr_0000000026;ingr_0000000148;ingr_0000000122;ingr_0000000291;ingr_0000000027;ingr_0000000518,train
dish_1559240908,60.16,128.0,ingr_0000000058,train
dish_1563395480,370.521423,329.0,ingr_0000000047;ingr_0000000052;ingr_0000000122;ingr_0000000203;ingr_0000000320;ingr_0000000036;ingr_0000000021;ingr_0000000033;ingr_0000000094;ingr_0000000161;ingr_0000000434;ingr_0000000520;ingr_0000000291;ingr_0000000238;ingr_0000000471;ingr_0000000312;ingr_0000000251;ingr_0000000448;ingr_0000000524;ingr_0000000152;ingr_0000000155;ingr_0000000367;ingr_0000000485;ingr_0000000011;ingr_0000000027;ingr_0000000045;ingr_0000000032,train
dish_1559235815,352.39502,268.0,ingr_0000000495;ingr_0000000264;ingr_0000000002;ingr_0000000179,train
dish_1565640272,377.820007,405.0,ingr_0000000033;ingr_0000000392;ingr_0000000471,train
dish_1565898158,240.425751,194.0,ingr_0000000523;ingr_0000000540;ingr_0000000036;ingr_0000000448;ingr_0000000520;ingr_0000000367;ingr_0000000291;ingr_0000000094;ingr_0000000133;ingr_0000000122;ingr_0000000332;ingr_0000000043;ingr_0000000023;ingr_0000000161;ingr_0000000203,test
dish_1565022062,234.606583,366.0,ingr_0000000161;ingr_0000000128;ingr_0000000013;ingr_0000000437,train
dish_1558719994,768.873047,133.0,ingr_0000000077,test
dish_1562960520,422.399261,303.0,ingr_0000000462;ingr_0000000312;ingr_0000000026;ingr_0000000122;ingr_0000000006;ingr_0000000433;ingr_0000000328;ingr_0000000291;ingr_0000000508;ingr_0000000525,train
dish_1560441270,24.540001,46.0,ingr_0000000525;ingr_0000000005,train
dish_1561663855,179.138412,139.0,ingr_0000000524;ingr_0000000520;ingr_0000000527;ingr_0000000122;ingr_0000000513;ingr_0000000054;ingr_0000000023;ingr_0000000205;ingr_0000000189;ingr_0000000094;ingr_0000000161;ingr_0000000516;ingr_0000000521;ingr_0000000291;ingr_0000000028;ingr_0000000029;ingr_0000000045;ingr_0000000517,train
dish_1563389199,390.254456,284.0,ingr_0000000027;ingr_0000000122;ingr_0000000312;ingr_0000000515;ingr_0000000189;ingr_0000000517;ingr_0000000201;ingr_0000000153;ingr_0000000161;ingr_0000000082;ingr_0000000126;ingr_0000000050;ingr_0000000291;ingr_0000000045,train
dish_1566488928,103.048294,147.0,ingr_0000000037;ingr_0000000437;ingr_0000000161,train
dish_1558031302,56.98,74.0,ingr_0000000005,test
dish_1558723926,19.26,107.0,ingr_0000000471,train
dish_1563392128,169.934235,162.0,ingr_0000000122;ingr_0000000523;ingr_0000000520;ingr_0000000094;ingr_0000000161;ingr_0000000291;ingr_0000000515;ingr_0000000377;ingr_0000000049;ingr_0000000541;ingr_0000000312;ingr_0000000448,train
